n_replicates,pr_auc_median,pr_auc_lcl,pr_auc_ucl,pr_auc_q95,roc_auc_median,roc_auc_lcl,roc_auc_ucl,roc_auc_q95,precision_median,precision_lcl,precision_ucl,precision_q95,sensitivity_median,sensitivity_lcl,sensitivity_ucl,sensitivity_q95,features,n_fields,method,rank
20,0.001445765436806648,0.0003260754605017424,0.0032240943605778795,0.0031324936351751847,0.6216427359853308,0.24414848747843193,0.8055888886985634,0.7790381175940831,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,术前-肌酐,1,scm,1
20,0.0014457528223652822,0.0003260754605017424,0.0032240943605778795,0.0031324936351751847,0.6216302154543278,0.24414288125926614,0.8055888886985634,0.7790381175940831,0.0005216710461795693,0.00014929389324717628,0.0010530460341547463,0.0010461284099206375,1.0,1.0,1.0,1.0,术前-肌酐,1,linear,2
20,0.0012966577014273811,0.0002594576961339679,0.004636596685634286,0.004322698321763624,0.47443491980893515,0.10841725951788782,0.7883793721124019,0.6012290515957393,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,年龄,1,scm,3
20,0.0012965932021565276,0.0002594576961339679,0.004636596685634286,0.004322698321763624,0.47442953466332083,0.10841725951788782,0.7884185395251145,0.6012327818255214,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,年龄,1,linear,4
20,0.0012348233796554507,0.00027482321252484646,0.008242232131181462,0.008052477122390326,0.5365561316149543,0.23025540132855538,0.8135920922126121,0.7401355422288655,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶,1,scm,5
20,0.0012333054926969567,0.00027465385888943893,0.008241921253665572,0.008052089772391692,0.5358380970130322,0.23008192424206453,0.8135214076888025,0.7399941731812464,0.000533588889344738,0.0001528782077097845,0.0010633841186560387,0.0010572495207345374,1.0,1.0,1.0,1.0,术前-天门冬氨酸氨基转移酶,1,linear,6
20,0.0010243552291322147,0.00026985409664180923,0.0018273905443859071,0.0017992835763948852,0.5872571999522354,0.4240181414695989,0.7218544830463327,0.7112428006791316,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,BMI,1,scm,7
20,0.0010242114005298837,0.00026981643259335586,0.001827152794785818,0.0017988826674221043,0.5872636994303029,0.42395477376508633,0.7218386935726485,0.7112412969197333,0.0005215685959199672,0.0001489962437199662,0.0010501865040140632,0.0010459973490433395,1.0,1.0,1.0,1.0,BMI,1,linear,8
20,0.0006887945023101726,0.00015132834163336417,0.013147110086891676,0.01149396347556421,0.5024564095003317,0.49799137802883897,0.6662717475841748,0.6651976857307805,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,术前-超敏促甲状腺素,1,scm,9
20,0.0006884996191926885,0.0001515302450111549,0.007870364184410734,0.004994498059793892,0.5017512655718261,0.4978197478870182,0.6624453804337239,0.6612123921265509,0.0005214814254040866,0.00014895393066289393,0.0010501123344676105,0.001045849009950434,1.0,1.0,1.0,1.0,术前-游离三碘甲状腺原氨酸,1,scm,10
20,0.0006884049737581477,0.00015132834163336417,0.012537458360851725,0.011435351570884288,0.5030205969556756,0.49838937025364577,0.6651241269006268,0.664361343649327,0.0005228993393079696,0.00014952239100055216,0.0010519732440520079,0.0010495708291192289,1.0,1.0,1.0,1.0,术前-超敏促甲状腺素,1,linear,11
20,0.0006881686147123064,0.00015130882130428205,0.005829234099560966,0.004800104718379625,0.5017215185891948,0.4976408302368729,0.662668688711855,0.6624625845956251,0.0005217146507458046,0.0001491083618160113,0.0010505576843451896,0.0010467397097055921,1.0,1.0,1.0,1.0,术前-游离三碘甲状腺原氨酸,1,linear,12
