n_replicates,pr_auc_median,pr_auc_lcl,pr_auc_ucl,pr_auc_q95,roc_auc_median,roc_auc_lcl,roc_auc_ucl,roc_auc_q95,precision_median,precision_lcl,precision_ucl,precision_q95,sensitivity_median,sensitivity_lcl,sensitivity_ucl,sensitivity_q95,features,n_fields,method,rank
100,0.007300034929837539,0.004172546326817921,0.01819002068320705,0.015763426445148665,0.51620904341666,0.44440197924157765,0.5513552121974604,0.5469891781132847,0.005218430363637531,0.0036042823027219073,0.006240341256488054,0.006123287322063001,1.0,1.0,1.0,1.0,术前-超敏促甲状腺素,1,linear,1
100,0.007210136719116484,0.004734548424124046,0.011673428625742353,0.01124771789823106,0.5625261212079202,0.47855073189328406,0.6140730305798585,0.6096092229119836,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,BMI,1,linear,2
100,0.006207331776971607,0.004125933985036833,0.008395092898813655,0.008161939371651415,0.5389645550678877,0.40881306164689624,0.5975838584832076,0.5911789255643587,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,术前-前白蛋白,1,linear,3
100,0.006071212324662499,0.00368427456055918,0.008999964598675417,0.008788435395585372,0.5017506806940144,0.4275952243274735,0.5791486457583986,0.5719948441593085,0.005221154552272187,0.003604554034292522,0.006242074674181049,0.006122418738276933,1.0,1.0,1.0,1.0,术前-肌酐,1,linear,4
100,0.005886646397344158,0.0041501660130992615,0.011518522694359077,0.009613776182462898,0.525519116821514,0.43544569900466845,0.5997425351950618,0.5955660353326724,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,BMI,1,scm,5
100,0.005719182972056529,0.0033059106909392624,0.007277567935744212,0.007128433360208745,0.4918162975536236,0.39120030662819916,0.5597076999180173,0.5555445291382668,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,年龄,1,linear,6
100,0.005667297155151131,0.003601503938858959,0.008342962128705729,0.00798859497019254,0.5024491808583738,0.42589511489191734,0.5862108071865968,0.5754666378669007,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,年龄,1,scm,7
100,0.005446602224778643,0.003912151103658809,0.007834486200833754,0.007643983536807231,0.49183364458504436,0.4380838838183029,0.5400630620465586,0.534850756144457,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,术前-前白蛋白,1,scm,8
100,0.005116101360516627,0.0034922850568568638,0.010866609369755253,0.008825523602651647,0.47451462828834645,0.43279002394024946,0.5318838547120249,0.5295954365822026,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,术前-超敏促甲状腺素,1,scm,9
100,0.00497913417688145,0.0033656558338721995,0.00706573793038057,0.006765014630302557,0.469609544734734,0.40029435230679006,0.5429928403327702,0.535997591096696,0.005218430363637531,0.0036040232476283606,0.006240341256488054,0.00612237295499738,1.0,1.0,1.0,1.0,术前-肌酐,1,scm,10
